_id,OBJECTID,CartID,BikeFacilityType,MSAG_Name,ProjectName,Jurisdiction,District,Length,MaintenanceResponsibility,Status,FacilityName,Comments,Shape__Length
1,1,BF_313001409,Route,4TH ST,Unknown,San Antonio,1,131.12785461,COSA - Public Works Dept,Active,4th St from Lexington Ave to Avenue E,None,131.127854613223
2,2,BF_313002171,Route,GIRAUD,Unknown,San Antonio,1,181.7939756,COSA - Public Works Dept,Active,Giraud from Augusta to N Main Ave,None,181.793975604833
3,3,BF_313001857,Bike Lane,BELGIUM,Unknown,San Antonio,2,308.05154535,COSA - Public Works Dept,Active,Belgium from ATT Center Pkwy to Salado Creek,None,308.0515453543
4,4,BF_313002670,Bike Lane,GUADALUPE ST,Unknown,San Antonio,5,363.66274924,COSA - Public Works Dept,Active,Guadalupe St from S San Jacinto St to SW 19th St,None,363.662749238712
5,5,BF_313000762,Bike Lane,HORAL DR,Unknown,San Antonio,4,524.56544234,COSA - Public Works Dept,Active,Horal Dr from Marbach Rd to US Hwy 90 W Access Rd,None,524.56544234775
6,6,BF_313002960,Bike Lane,N NEW BRAUNFELS AVE,Unknown,San Antonio,2,321.00478436,COSA - Public Works Dept,Active,N New Braunfels Ave from Eleanor Ave to Burr Rd,None,321.004784365481
7,7,BF_313000287,Bike Lane,S PINE ST,Unknown,San Antonio,2,7.78347733,COSA - Public Works Dept,Active,S Pine St from Nevada to Aransas Ave,None,7.78347733119114
8,8,BF_313003222,Bike Lane,FRIO CITY RD,Unknown,San Antonio,5,324.61188681,COSA - Public Works Dept,Active,Frio City Rd from S Brazos St to W Malone,None,324.611886813334
9,9,BF_313002806,Bike Lane,N HAMILTON AVE,Unknown,San Antonio,1,194.11009219,COSA - Public Works Dept,Active,N Hamilton Ave from Lombrano St to W Martin St,None,194.110092199164
10,10,BF_313000095,Route,LES HARRISON DR,Unknown,San Antonio,6,298.03171424,COSA - Public Works Dept,Active,Les Harrison Dr_Weybridge from Culebra Rd to Dover Rdg,None,298.031714245229
11,11,BF_313001806,Bike Lane,GILLETTE BLVD,Unknown,San Antonio,3,1097.04400469,COSA - Public Works Dept,Active,Gillette Blvd from Clamp to S Zarzamora St,None,1097.04400469112
12,12,BF_313000742,Bike Lane,W COMMERCE ST,Unknown,San Antonio,5,355.70944036,COSA - Public Works Dept,Active,W Commerce St from S Frio to Enrique M Barerra Pkwy,None,355.709440369499
13,13,BF_313003227,Route,S BRAZOS ST,Unknown,San Antonio,5,188.2034631,COSA - Public Works Dept,Active,S Brazos St from Frio City Rd to Saltillo St,None,188.203463101282
14,14,BF_313001971,Bike Lane,HUNTERS GREEN DR,Unknown,San Antonio,8,317.97751337,COSA - Public Works Dept,Active,Hunters Green Dr from NW Military Hwy to Barrel Oak,None,317.977513378869
15,15,BF_313002527,Route,CEDAR PARK,Unknown,San Antonio,7,992.57338447,COSA - Public Works Dept,Active,Cedar Park from Asher Park to Prue Rd,None,992.573384472913
16,16,BF_313001141,Route,LES HARRISON DR,Unknown,San Antonio,6,272.9051544,COSA - Public Works Dept,Active,Les Harrison Dr_Weybridge from Culebra Rd to Dover Rdg,None,272.905154408212
17,17,BF_313003235,Bike Lane,MICRON DR,Unknown,San Antonio,6,537.7676897,COSA - Public Works Dept,Active,Micron Dr from Potranco Rd to Culebra Rd,None,537.767689704035
18,18,BF_313000288,Bike Lane,FAIRLAWN DR,Unknown,San Antonio,3,309.09563861,COSA - Public Works Dept,Active,Fairlawn Dr from Killarney Dr to Emory Oak,None,309.095638616026
19,19,BF_313000835,Buffered Lane,CINCINNATI AVE,Unknown,San Antonio,1,200.22922671,COSA - Public Works Dept,Active,Cincinnati Ave from IH 10 to Grant Ave,None,200.229226719313
20,20,BF_313004105,Multi Use Path,W HAUSMAN RD,40-00420 Hausman Road Loop 1604 to IH 10,San Antonio,8,375.22672141,COSA - Public Works Dept,Active,W Hausman Rd from N Loop 1604 W Access Rd to University Hts,None,375.226721414452
21,21,BF_313002576,Bike Lane,SONOMA PKWY,Unknown,San Antonio,8,511.30869897,COSA - Public Works Dept,Active,Sonoma Pkwy from FM 1560 N to Tulorosa Trl,None,511.30869897512
22,22,BF_313004398,Bike Lane,CASA BLANCA,Unknown,San Antonio,1,418.14431634,COSA - Public Works Dept,Active,Casa Blanca from 250 ft W of Broadway to Newell,None,418.144316344876
23,23,BF_313000611,Bike Lane,W COMMERCE ST,Unknown,San Antonio,5,360.61845353,COSA - Public Works Dept,Active,W Commerce St from SW 19th St to S Frio St,None,360.618453531038
24,24,BF_313004327,Multi Use Path,HARDY OAK BLVD,Unknown,San Antonio,9,1711.439024,COSA - Public Works Dept,Active,Hardy Oak Blvd from Stone Oak Pkwy to Knights Cross Dr,None,1711.43902446573
25,25,BF_313004498,Bike Lane,GOLIAD RD,Unknown,San Antonio,3,315.94706604,COSA - Public Works Dept,TBD,TBD,None,315.947066039165
26,26,BF_313001508,Multi Use Path,CALLAGHAN RD,Unknown,San Antonio,7,247.90158006,COSA - Public Works Dept,Active,Callaghan Rd from Bandera Rd to Hemphill St,None,247.901580062396
27,27,BF_313000737,Bike Lane,W COMMERCE ST,Unknown,San Antonio,5,391.46390452,COSA - Public Works Dept,Active,W Commerce St from S Frio to Enrique M Barerra Pkwy,None,391.463904526679
28,28,BF_313004273,Route,W ASHBY PLACE,Unknown,San Antonio,1,188.79902492,COSA - Public Works Dept,TBD,W Ashby Place from Grant Ave to N Flores St,None,188.799024917204
29,29,BF_313003016,Bike Lane,SEASCAPE DR,Unknown,San Antonio,4,520.39519624,COSA - Public Works Dept,Active,Seascape Dr from W Military Dr to Potranco Rd,None,520.395196248207
30,30,BF_313004447,Route,ARBOLEDA,IMP 2021 Bike Facility Restripe Application,San Antonio,5,319.7806023,COSA - Public Works Dept,Active,Arboleda from Castroville Rd to Ceralvo St,None,319.780602308464
31,31,BF_313002997,Bike Lane,S FLORES ST,Unknown,San Antonio,3,422.05061919,COSA - Public Works Dept,Inactive,S Flores St from E Malone_W Malone Ave to SE Military Dr_TO BE REMOVED,None,422.05061919572
32,32,BF_313002982,Bike Lane,S FLORES ST,Unknown,San Antonio,3,370.00401606,COSA - Public Works Dept,Inactive,S Flores St from E Malone_W Malone Ave to SE Military Dr_TO BE REMOVED,None,370.004016067177
33,33,BF_313004376,Cycletrack,FLOYD CURL,Floyd Curl Green Street,San Antonio,8,1580.43993779,COSA - Public Works Dept,Active,Floyd Curl Cycletrack from Louis Pasteur to Fawn Meadow,None,1580.4399377872
34,34,BF_313000512,Buffered Lane,VISTA VW,Unknown,San Antonio,9,171.32043499,COSA - Public Works Dept,Active,Vista Vw from Braesview_Patricia Dr intersection to Blanco Rd,None,171.32043499727
35,35,BF_313001375,Buffered Lane,S MEL WAITERS WAY,IMP 2019 Bike Facility Restriping,San Antonio,2,348.46554493,COSA - Public Works Dept,Active,S Mel Waiters Way from E Commerce St to Hedges St,None,348.465544937016
36,36,BF_313001149,Multi Use Path,AINA LN,Unknown,San Antonio,2,949.57950251,COSA - Public Works Dept,Active,Aina Rd from Holbrook to Rittiman Rd,None,949.579502513348
37,37,BF_313000698,Bike Lane,MACARTHUR VW,Unknown,San Antonio,10,2030.13579715,COSA - Public Works Dept,Active,Macarthur Vw from Broadway to Nacogdoches Rd,None,2030.13579715239
38,38,BF_313002775,Bike Lane,S TRINITY,Unknown,San Antonio,5,171.08640204,COSA - Public Works Dept,Active,S Trinity from S Laredo St to W Houston St,None,171.086402045961
39,39,BF_313002836,Bike Lane,S HAMILTON AVE,Unknown,San Antonio,5,28.99347578,COSA - Public Works Dept,Active,S Hamilton Ave from Guadalupe St to Monterey St,None,28.9934757846982
40,40,BF_313001969,Bike Lane,HUNTERS GREEN DR,Unknown,San Antonio,8,507.14297461,COSA - Public Works Dept,Active,Hunters Green Dr from NW Military Hwy to Barrel Oak,None,507.142974610298
41,41,BF_313002758,Bike Lane,W HARDING BLVD,Unknown,San Antonio,3,568.51254321,COSA - Public Works Dept,Active,W Harding Blvd from Commercial Ave to Pleasanton Rd,None,568.512543213152
42,42,BF_313000825,Bike Lane,AVENUE E,Unknown,San Antonio,1,8.17785411,COSA - Public Works Dept,Active,Avenue E from 3rd St to Brooklyn Ave,None,8.17785411216587
43,43,BF_313004361,Bike Lane,W COMMERCE ST,Unknown,San Antonio,5,85.31988034,COSA - Public Works Dept,Active,W Commerce St from S Frio to Enrique M Barerra Pkwy,None,85.3198803350993
44,44,BF_313002652,Route,STAR CREEK DR,Unknown,San Antonio,6,721.41573823,COSA - Public Works Dept,Active,Star Creek Dr from Reed Rd to Village Pkwy,None,721.415738237128
45,45,BF_313002821,Bike Lane,W HARDING BLVD,Unknown,San Antonio,3,548.75353137,COSA - Public Works Dept,Active,W Harding Blvd from Commercial Ave to Pleasanton Rd,None,548.753531372139
46,46,BF_313001076,Bike Lane,UHR LN,Unknown,San Antonio,10,536.02476051,COSA - Public Works Dept,Active,Uhr Ln from Higgins Rd to Thousand Oaks,None,536.024760517316
47,47,BF_313002581,Multi Use Path,PRUE RD,Unknown,San Antonio,7,855.81131269,COSA - Public Works Dept,Inactive,Prue Rd from Kyle Seale Pkwy to Autumn Bluff,changed to Inactive Status per 01/31/2020 email from Lauren Simcic to Paul Tenner - not a valid Bike Facility per City Auditor's Office,855.811312690335
48,48,BF_313001718,Bike Lane,E BROADVIEW DR,Unknown,San Antonio,7,384.51015493,COSA - Public Works Dept,Active,E Broadview Dr from Bandera Rd to N Westberry,None,384.510154936039
49,49,BF_313000802,Route,CENTER ST,Unknown,San Antonio,2,591.9957129,COSA - Public Works Dept,Active,Center St from Chestnut St to N Pine St,None,591.995712900282
50,50,BF_313002531,Bike Lane,ROAN PARK,Unknown,San Antonio,9,1328.80254196,COSA - Public Works Dept,Active,Roan Park from E Evans Rd to School Driveway,None,1328.80254196079
51,51,BF_313002252,Bike Lane,S TRINITY,Unknown,San Antonio,5,387.7272296,COSA - Public Works Dept,Active,S Trinity from S Laredo St to W Houston St,None,387.727229606598
52,52,BF_313001538,Route,DONALDSON AVE,Unknown,San Antonio,7,538.88849873,COSA - Public Works Dept,Active,Donaldson Ave from N Elmendorf to E Quill Dr,None,538.888498735797
53,53,BF_313001329,Bike Lane,UHR LN,Unknown,San Antonio,10,411.49418908,COSA - Public Works Dept,Active,Uhr Ln from Higgins Rd to Thousand Oaks,None,411.494189081622
54,54,BF_313001088,Bike Lane,CROSS CANYON,Unknown,San Antonio,9,124.32381491,COSA - Public Works Dept,Active,Cross Canyon from Heimer Rd to Jones Maltsberger Rd,None,124.323814918081
55,55,BF_313002517,Route,S ALAMO ST,Unknown,San Antonio,5,323.11163396,COSA - Public Works Dept,Active,S Alamo St_Pereida St from Probandt St to S Presa St,None,323.111633961084
56,56,BF_313000165,Route,W MARTIN ST,Unknown,San Antonio,1,341.41561131,COSA - Public Works Dept,Active,W Martin St from N Flores St to N Medina,None,341.41561131919
57,57,BF_313004345,Bike Lane,W COMMERCE ST,Unknown,San Antonio,5,389.10466409,COSA - Public Works Dept,Active,W Commerce St from S Frio to Enrique M Barerra Pkwy,None,389.104664087717
58,58,BF_313001428,Route,S WALTERS ST,Unknown,San Antonio,3,300.35109814,COSA - Public Works Dept,Active,S Walters St from Rigsby Ave to Fair Ave,None,300.35109814532
59,59,BF_313000559,Bike Lane,McCullough Ave,Unknown,San Antonio,1,126.17813606,COSA - Public Works Dept,Active,McCullough Ave from E Ashby Place to W_E Hildebrand Ave,None,126.178136060959
60,60,BF_313002690,Route,WILLENBROCK,Unknown,San Antonio,2,307.00370661,COSA - Public Works Dept,Active,Willenbrock from Rigsby Ave to Benham,None,307.003706613419
61,61,BF_313003160,Route,N FLORES ST,Unknown,San Antonio,1,350.50004432,COSA - Public Works Dept,Active,N Flores St from W Ashby Place to Fulton Ave,None,350.50004432039
62,62,BF_313002772,Bike Lane,ASHLEY RD,Unknown,San Antonio,3,497.7515583,COSA - Public Works Dept,Active,Ashley from Pleasanton to Flores,None,497.751558303931
63,63,BF_313000867,Bike Lane,TEZEL RD,Unknown,San Antonio,6,872.32856028,COSA - Public Works Dept,Active,Tezel Rd from Timber Path to Old Tezel Rd,None,872.328560285989
64,64,BF_313002047,Bike Lane,BRAESVIEW,Unknown,San Antonio,9,221.86014233,COSA - Public Works Dept,Active,Patricia Dr_Braesview from NW Military Hwy to West Ave,None,221.860142330582
65,65,BF_313001629,Route,HAYS ST,Unknown,San Antonio,2,503.98948559,COSA - Public Works Dept,Active,Hays St from N Mesquite St to N Onslow St,None,503.98948559598
66,66,BF_313004123,Multi Use Path,W HAUSMAN RD,40-00420 Hausman Road Loop 1604 to IH 10,San Antonio,8,64.9030541,COSA - Public Works Dept,Active,W Hausman Rd from N Loop 1604 W Access Rd to University Hts,None,64.9030541000458
67,67,BF_313004100,Multi Use Path,CLASSEN RD,40-00301 Bulverde Rd and Classen Rd Realignment,San Antonio,10,343.1688007,COSA - Public Works Dept,Active,Bulverde Rd & Classen Rd Realignment,None,343.135941423348
68,68,BF_313002734,Route,WILLENBROCK,Unknown,San Antonio,2,307.00004217,COSA - Public Works Dept,Active,Willenbrock from Rigsby Ave to Benham,None,307.000042170286
69,69,BF_313001308,Bike Lane,PLEASANTON RD,Unknown,San Antonio,3,309.23923376,COSA - Public Works Dept,Active,Pleasanton Rd from Moursund Blvd to SE Loop 410 Access Rd,None,309.239233769819
70,70,BF_313002911,Bike Lane,S TRINITY,Unknown,San Antonio,5,391.70483815,COSA - Public Works Dept,Active,S Trinity from S Laredo St to W Houston St,None,391.704838151872
71,71,BF_313003244,Bike Lane,WALKER RANCH,Unknown,San Antonio,9,336.26118341,COSA - Public Works Dept,Active,Walker Ranch from Bitters Rd to Wood Valley,None,336.261183410955
72,72,BF_313002936,Bike Lane,BAYWATER STAGE,Unknown,San Antonio,8,202.70257023,COSA - Public Works Dept,Active,Baywater Stage from Boerne Stage to Bexar County Line,None,202.702570234309
73,73,BF_313002700,Route,BELLCREST,Unknown,San Antonio,10,181.90890105,COSA - Public Works Dept,Active,Bellcrest from Bell Dr to Higgins Rd,None,181.908901051959
74,74,BF_313003320,Route,HUNTSMAN RD,Unknown,San Antonio,8,680.04921688,COSA - Public Works Dept,Active,Huntsman Rd from W Hausman Rd to Asher Park,None,680.049216888814
75,75,BF_313000431,Bike Lane,MANOR DR,Unknown,San Antonio,7,330.33020144,COSA - Public Works Dept,Active,Manor Dr from Donaldson Ave to W Mulberry Ave,None,330.330201446127
76,76,BF_313001776,Bike Lane,PECAN VALLEY DR,Unknown,San Antonio,3,314.55504869,COSA - Public Works Dept,Active,Pecan Valley Dr from Roland Ave to Arrid,None,314.555048691438
77,77,BF_313003355,Route,RIGSBY AVE,Unknown,San Antonio,3,357.2674141,COSA - Public Works Dept,Active,Rigsby Ave from S Pine St to Clark Ave,None,357.267414104427
78,78,BF_313001527,Bike Lane,CHASE HILL BLVD,Unknown,San Antonio,8,2554.25433086,COSA - Public Works Dept,Active,Chase Hill Blvd from Babcock Rd to N Loop 1604,None,2554.25433086658
79,79,BF_313001841,Bike Lane,S MAIN AVE,Unknown,San Antonio,1,478.72967865,COSA - Public Works Dept,Active,S Main Ave from Arsenal to S Alamo St,None,478.729678653047
80,80,BF_313003346,Route,RIGSBY AVE,Unknown,San Antonio,3,637.56381105,COSA - Public Works Dept,Active,Rigsby Ave from S Pine St to Clark Ave,None,637.563811051944
81,81,BF_313001169,Bike Lane,CINCINNATI AVE,Unknown,San Antonio,7,351.06441141,COSA - Public Works Dept,Active,Cincinnati Ave from Camino Santa Maria S Josephine Tobin Dr,None,351.064411415172
82,82,BF_313000834,Bike Lane,CINCINNATI AVE,Unknown,San Antonio,7,723.29771948,COSA - Public Works Dept,Active,Cincinnati Ave from Alexander Ave to IH 10 W Access Rd,None,723.297719484747
83,83,BF_313002894,Bike Lane,SW 19TH ST,Unknown,San Antonio,5,100.30123484,COSA - Public Works Dept,Active,SW 19th St from Buena Vista St to Castroville Rd,None,100.301234844041
84,84,BF_313004394,Bike Lane,UTSA BLVD,Unknown,San Antonio,8,1664.71957994,COSA - Public Works Dept,Active,UTSA Blvd from Bridge to UTEX,None,1664.71957993929
85,85,BF_313001680,Bike Lane,PECAN VALLEY DR,Unknown,San Antonio,3,293.56576679,COSA - Public Works Dept,Active,Pecan Valley Dr from Hiawatha to Dollarhide Ave,None,293.565766799612
86,86,BF_313003314,Bike Lane,FIVE PALMS DR,Unknown,San Antonio,4,1114.97120146,COSA - Public Works Dept,Active,Five Palms Dr from Medina Base Rd to Port Victoria St,None,1114.97120146755
87,87,BF_313002749,Route,DUGAS DR,Unknown,San Antonio,4,39.725542,COSA - Public Works Dept,Active,Dugas Dr from Dead End at Arrowhead Trl to W Military Dr,None,39.7255420095049
88,88,BF_313002543,Route,CEDAR PARK,Unknown,San Antonio,7,167.26195124,COSA - Public Works Dept,Active,Cedar Park from Asher Park to Prue Rd,None,167.261951249329
89,89,BF_313004272,Route,W ASHBY PLACE,Unknown,San Antonio,1,209.29829091,COSA - Public Works Dept,TBD,W Ashby Place from Grant Ave to N Flores St,None,209.298290910682
90,90,BF_313000626,Bike Lane,BUENA VISTA ST,Unknown,San Antonio,5,357.08780566,COSA - Public Works Dept,Active,Buena Vista St from SW 19th St to S Frio,None,357.087805666424
91,91,BF_313003021,Buffered Lane,IOWA ST,IMP 2020 Bike Facility Restripe Application,San Antonio,2,448.26012664,COSA - Public Works Dept,Active,Iowa St from S Cherry St to N New Braunfels St,None,448.260126639082
92,92,BF_313002923,Bike Lane,PATRICIA DR,Unknown,San Antonio,9,1621.76482054,COSA - Public Works Dept,Active,Patricia Dr_Braesview from NW Military Hwy to West Ave,None,1621.76482054175
93,93,BF_313004441,Buffered Lane,N HAMILTON AVE,Unknown,San Antonio,1,200.7478797,COSA - Public Works Dept,Pending Construction Completion,N Hamilton Ave from Lombrano to Culebra Rd,None,200.747879697317
94,94,BF_313000392,Route,HOWARD ST,Unknown,San Antonio,1,389.07897327,COSA - Public Works Dept,Active,Howard St from W Park Ave to W Euclid Ave,None,389.078973277502
95,95,BF_313004419,Separated Lane,CLARENCE TINKER DR,Unknown,San Antonio,4,604.22786955,Port Authority of San Antonio,Active - not PW maintained,Clarence Tinker Dr from England Dr to General Hudnell Dr,None,604.197180402015
96,96,BF_313001259,Route,N VANDIVER RD,Unknown,San Antonio,10,276.00232884,COSA - Public Works Dept,Active,N Vandiver Rd_S Vandiver Rd from Urban Crest to Rittiman Rd,None,276.002328848838
97,97,BF_313004360,Bike Lane,W COMMERCE ST,Unknown,San Antonio,5,219.18882681,COSA - Public Works Dept,Active,W Commerce St from S Frio to Enrique M Barerra Pkwy,None,219.188826811388
98,98,BF_313004195,Route,N FLORES ST,Unknown,San Antonio,1,49.75052863,COSA - Public Works Dept,Active,N Flores St from W Ashby Place to E Fredericksburg Rd,None,49.75052864047
99,99,BF_313003211,Bike Lane,FRIO CITY RD,Unknown,San Antonio,5,354.11934504,COSA - Public Works Dept,Active,Frio City Rd from S Brazos St to W Malone,None,354.119345043916
100,100,BF_313001441,Route,N ST MARYS,Unknown,San Antonio,1,666.85857362,COSA - Public Works Dept,Active,N St Marys St from Tuleta to W Jones Ave,None,666.858573628407
101,101,BF_313002296,Multi Use Path,RAPLA CROSSING,Unknown,San Antonio,6,232.87160461,COSA - Public Works Dept,Active,Persyn Tract_Rapla Crossing from Reed to W Military,None,232.871604618616
102,102,BF_313002674,Route,DUGAS DR,Unknown,San Antonio,4,164.51156461,COSA - Public Works Dept,Active,Dugas Dr from Dead End at Arrowhead Trl to W Military Dr,None,164.511564611195
103,103,BF_313000558,Bike Lane,McCullough Ave,Unknown,San Antonio,1,56.43525518,COSA - Public Works Dept,Active,McCullough Ave from E Ashby Place to W_E Hildebrand Ave,None,56.4352551847518
104,104,BF_313000323,Route,S MESQUITE ST,Unknown,San Antonio,2,156.5001667,COSA - Public Works Dept,Active,S Mesquite St from Nevada to Hays St,None,156.500166701166
105,105,BF_313004256,Multi Use Path,CALLAGHAN RD,Unknown,San Antonio,7,349.20331065,COSA - Public Works Dept,Active,TBD,None,349.203310653369
106,106,BF_313004101,Multi Use Path,BULVERDE RD,40-00301 Bulverde Rd and Classen Rd Realignment,San Antonio,10,464.86994914,COSA - Public Works Dept,Active,Bulverde Rd & Classen Rd Realignment,None,464.869949139868
107,107,BF_313000616,Bike Lane,S Zarzamora St,Unknown,San Antonio,4,1002.21495119,COSA - Public Works Dept,Active,S Zarzamora St from SW Loop 410 to W Hutchins Place_CIMS 2007 Bond Project_5 ft bike lanes,None,1002.21495119772
108,108,BF_313001461,Bike Lane,McCullough Ave,Unknown,San Antonio,1,312.57120197,COSA - Public Works Dept,Active,McCullough Ave from E Ashby Place to W_E Hildebrand Ave,None,312.571201970833
109,109,BF_313001416,Route,S WALTERS ST,Unknown,San Antonio,3,329.33400325,COSA - Public Works Dept,Active,S Walters St from Rigsby Ave to Fair Ave,None,329.334003257557
110,110,BF_313001557,Bike Lane,MANOR DR,Unknown,San Antonio,7,8.23968696,COSA - Public Works Dept,Active,Manor Dr from Donaldson Ave to W Mulberry Ave,None,8.23968696278403
111,111,BF_313003172,Buffered Lane,N ELLISON DR,Unknown,San Antonio,6,26.52587765,COSA - Public Works Dept,Active,N Ellison Dr from W Military Dr to Wiseman Blvd,None,26.5258776535796
112,112,BF_313003510,Bike Lane,BROADWAY,Unknown,San Antonio,1,165.68154474,COSA - Public Works Dept,Active,Broadway from Newell Ave_Casa Blanca to E Jones Ave,None,165.681544745304
113,113,BF_313004293,Bike Lane,CULEBRA RD,Unknown,San Antonio,6,993.85077503,COSA - Public Works Dept,Active,Culebra Rd from Grissom Rd to NW Loop 410,None,993.85077502783
114,114,BF_313003591,Route,DREAMLAND,Unknown,San Antonio,9,1039.10731617,COSA - Public Works Dept,Active,DREAMLAND from VANCE JACKSON to LOCKHILL-SELMA RD,None,1039.10731617289
115,115,BF_313004058,To Be Determined,BENRUS,Unknown,San Antonio,7,353.25003814,COSA - Public Works Dept,Staff Recommended for IMP 2020 to 2024,Benrus Blvd from Ingram Rd to Culebra Rd,None,353.250038142682
116,116,BF_313001787,Bike Lane,INDIAN WOODS,Unknown,San Antonio,8,296.10244302,COSA - Public Works Dept,Active,Indian Woods_Parksite Woods from De Zavala Rd to De Zavala Rd,None,296.102443028071
117,117,BF_313003645,Bike Lane,MYSTIC PARK,Unknown,San Antonio,7,420.99444725,COSA - Public Works Dept,Active,Mystic Park from Guilbeau Rd to Bandera Rd,None,420.994447259589
118,118,BF_313001968,Bike Lane,HUNTERS GREEN DR,Unknown,San Antonio,8,371.11345456,COSA - Public Works Dept,Active,Hunters Green Dr from NW Military Hwy to Barrel Oak,None,371.113454556204
119,119,BF_313001442,Route,N ST MARYS,Unknown,San Antonio,1,157.71895964,COSA - Public Works Dept,Active,N St Marys St from Tuleta to W Jones Ave,None,157.718959642375
120,120,BF_313000139,Bike Lane,W MALONE,Unknown,San Antonio,5,37.75957172,COSA - Public Works Dept,Active,W Malone_E Malone from S Zarzamora St to Concepcion Park,None,37.7595717265802
121,121,BF_313003374,Multi Use Path,PRUE RD,Unknown,San Antonio,7,1432.27504628,COSA - Public Works Dept,Inactive,Prue Rd from Country Dawn to Autumn Bluff_CIMS 2007 Bond Project_6 ft Multi Use Path,changed to Inactive Status per 01/31/2020 email from Lauren Simcic to Paul Tenner - not a valid Bike Facility per City Auditor's Office,1432.27504628084
122,122,BF_313001645,Route,CORAL SPGS,Unknown,San Antonio,7,351.003589,COSA - Public Works Dept,Active,CORAL SPGS from Heath Circle Dr_Low Bid Ln to Mainland Dr,None,351.003589006461
123,123,BF_313001230,Bike Lane,MISTY WAY,Unknown,San Antonio,6,345.95810225,COSA - Public Works Dept,Active,Timber Trace_Misty Way from Silent Sunrise to Grissom Rd,None,345.95810225779
124,124,BF_313003331,Route,E NUEVA,Unknown,San Antonio,1,237.9777668,COSA - Public Works Dept,Active,E Nueva from S Main Ave to S Alamo St,None,237.977766804911
125,125,BF_313000713,Bike Lane,W MALONE,Unknown,San Antonio,5,201.03638259,COSA - Public Works Dept,Active,W Malone_E Malone from S Zarzamora St to Concepcion Park,None,201.036382591968
126,126,BF_313004436,Bike Lane,BUENA VISTA ST,Unknown,San Antonio,5,363.56164681,COSA - Public Works Dept,Active,Buena Vista St from SW 19th St to S Frio,None,363.561646814664
127,127,BF_313002497,Route,W HOUSTON ST,Unknown,San Antonio,5,353.3133141,COSA - Public Works Dept,Active,N Calaveras_Private Rd_W Houston St_N Chupaderas from Cincinnati Ave to Buena Vista St,None,353.313314101254
128,128,BF_313003968,Route,N ST MARYS,Unknown,San Antonio,1,153.97229513,COSA - Public Works Dept,Active,N St Marys St from Tuleta to W Jones Ave,None,153.972295130146
129,129,BF_313003217,Bike Lane,FRIO CITY RD,Unknown,San Antonio,5,990.68939929,COSA - Public Works Dept,Active,Frio City Rd from S Brazos St to W Malone,None,990.689399294639
130,130,BF_313003207,Bike Lane,Woodlake Pkwy,Unknown,San Antonio,2,88.00063862,COSA - Public Works Dept,Active,Woodlake Pkwy from Walzem Rd to Gibbs-Sprawl Rd,None,88.0006386215038
131,131,BF_313001937,Bike Lane,REED RD,Unknown,San Antonio,6,272.90821074,COSA - Public Works Dept,Active,Reed Rd from Culebra Rd to W Military Dr,None,272.908210736039
132,132,BF_313000870,Bike Lane,TEZEL RD,Unknown,San Antonio,6,965.3344977,COSA - Public Works Dept,Active,Tezel Rd from Timber Path to Old Tezel Rd,None,965.334497701373
133,133,BF_313004368,Route,BROOKLYN AVE,Unknown,San Antonio,2,39.78842379,COSA - Public Works Dept,Active,Brooklyn Ave from Avenue E to Austin St,None,39.7884237898836
134,134,BF_313000054,Bike Lane,BELL DR,Unknown,San Antonio,10,27.18588283,COSA - Public Works Dept,Active,Bell Dr from Stahl Rd to Uhr Lane,None,27.1858828304158
135,135,BF_313004153,Bike Lane,BULVERDE RD,40-00005 Bulverde Rd Loop 1604 to Evans Rd,San Antonio,9,757.86109326,COSA - Public Works Dept,Active,Bulverde Rd from N Loop 1604 E Access Rd to Beckwood Dr,None,757.861093264112
136,136,BF_313002039,Bike Lane,E MISTLETOE,Unknown,San Antonio,1,406.74568865,COSA - Public Works Dept,Active,E Mistletoe_W Mistletoe from N St Marys St to N Flores St,None,406.745688651668
137,137,BF_313003555,Bike Lane,S FLORES ST,Unknown,San Antonio,5,278.35115727,COSA - Public Works Dept,Active,S Flores St from E Cevallos_W Cevallos to E Theo Ave_W Theo Ave,None,278.351157270678
138,138,BF_313001716,Bike Lane,E BROADVIEW DR,Unknown,San Antonio,7,389.88404584,COSA - Public Works Dept,Active,E Broadview Dr from Bandera Rd to N Westberry,None,389.884045844809
139,139,BF_313003491,Bike Lane,Hot Wells Ave,Unknown,San Antonio,3,1006.51637979,COSA - Public Works Dept,Active,Hot Wells Ave from S Presa St to Goliad Rd,None,1006.51637979694
140,140,BF_313002698,Bike Lane,GUADALUPE ST,Unknown,San Antonio,5,174.83168212,COSA - Public Works Dept,Active,Guadalupe St from S San Jacinto St to SW 19th St,None,174.831682121755
141,141,BF_313001621,Route,HAYS ST,Unknown,San Antonio,2,475.66324709,COSA - Public Works Dept,Active,Hays St from N Mesquite St to N Onslow St,None,475.663247094063
142,142,BF_313003537,Bike Lane,S FLORES ST,Unknown,San Antonio,5,140.04489505,COSA - Public Works Dept,Active,S Flores St from E Cevallos_W Cevallos to E Theo Ave_W Theo Ave,None,140.044895059415
143,143,BF_313001484,Bike Lane,W WOODLAWN,Unknown,San Antonio,7,378.66442378,COSA - Public Works Dept,Active,W Woodlawn from N Zarzamora St to Halvern,None,378.664423789047
